5,,1.4,0.2,Iris-setosa
5,4.0,1.2,0.2,Iris-setosa
5,4.4,1.5,0.4,Iris-setosa
5,3.9,1.3,0.4,Iris-setosa
5,3.5,1.4,0.3,Iris-setosa
5,3.8,1.7,0.3,Iris-setosa
5,3.5,1.6,0.6,Iris-setosa
5,3.8,1.9,0.4,Iris-setosa
5,3.0,1.4,0.3,Iris-setosa
5,3.8,1.6,0.2,Iris-setosa
5,3.2,1.4,0.2,Iris-setosa
5,3.7,1.5,0.2,Iris-setosa
5,3.3,1.4,0.2,Iris-setosa
5,2.0,3.5,1.0,Iris-versicolor
5,3.0,4.2,1.5,Iris-versicolor
5,2.2,4.0,1.0,Iris-versicolor
5,2.9,4.7,1.4,Iris-versicolor
5,2.9,3.6,1.3,Iris-versicolor
5,3.1,4.4,1.4,Iris-versicolor
5,3.0,4.5,1.5,Iris-versicolor
6,2.7,4.1,1.0,Iris-versicolor
6,2.2,4.5,1.5,Iris-versicolor
6,2.9,4.2,1.3,Iris-versicolor
6,2.9,4.3,1.3,Iris-versicolor
6,2.5,3.0,1.1,Iris-versicolor
6,2.8,4.1,1.3,Iris-versicolor
6,3.3,6.0,2.5,Iris-virginica
6,2.7,5.1,1.9,Iris-virginica
6,3.0,5.9,2.1,Iris-virginica
6,2.9,5.6,1.8,Iris-virginica
6,3.0,5.8,2.2,Iris-virginica
6,3.0,6.6,2.1,Iris-virginica

